"ProblemSlug","TagSlug","TagType","GoodnessOfFit","Confidence","Justification"
"75-csmo-a-i-1","ciferny-sucet","Type","0",,
"75-csmo-a-i-1","najmensi-spolocny-nasobok","Type","0",,
"75-csmo-a-i-1","delitelnost","Type","0",,
"75-csmo-a-i-1","logicka-uloha","Area","0",,
"75-csmo-a-i-1","plati-vo-vseobecnosti","Goal","0",,
"75-csmo-a-i-1","mnozina-bodov","Type","0",,
"75-csmo-a-i-1","geometria","Area","0.5",0,"The problem deals with 'konvexný mnohouholník' which is a geometrical object. However, the problem is more about combinatorial properties of these shapes rather than angles, lengths, areas etc."
"75-csmo-a-i-1","absolutna-hodnota","Type","0",,
"75-csmo-a-i-1","kvader","Type","0",,
"75-csmo-a-i-1","obdlznik","Type","0",,
"75-csmo-a-i-1","parita","Type","0",,
"75-csmo-a-i-1","algebra","Area","0",,
"75-csmo-a-i-1","kosostvorec","Type","0",,
"75-csmo-a-i-1","stredna-priecka","Type","0",,
"75-csmo-a-i-1","taznica","Type","0",,
"75-csmo-a-i-1","binomicky-koeficient","Type","0",,
"75-csmo-a-i-1","komplexne-cisla","Area","0",,
"75-csmo-a-i-1","dokaz-vseobecneho-tvrdenia","Goal","0",,
"75-csmo-a-i-1","obsah","Type","0",,
"75-csmo-a-i-1","dokaz-ekvivalencie","Goal","0",,
"75-csmo-a-i-1","povrch","Type","0",,
"75-csmo-a-i-1","stredova-sumernost","Type","0",,
"75-csmo-a-i-1","faktorial","Type","0",,
"75-csmo-a-i-1","obvod","Type","0",,
"75-csmo-a-i-1","nesudelitelne-cisla","Type","0",,
"75-csmo-a-i-1","stvorec","Type","0",,
"75-csmo-a-i-1","teoria-grafov","Area","0",,
"75-csmo-a-i-1","mriezka","Type","0",,
"75-csmo-a-i-1","remizujuca-strategia","Goal","0",,
"75-csmo-a-i-1","najvacsi-spolocny-delitel","Type","0",,
"75-csmo-a-i-1","pellova-rovnica","Type","0",,
"75-csmo-a-i-1","objem","Type","0",,
"75-csmo-a-i-1","ortocentrum","Type","0",,
"75-csmo-a-i-1","aritmeticka-postupnost","Type","0",,
"75-csmo-a-i-1","prvocisla","Type","0",,
"75-csmo-a-i-1","pravouhly-trojuholnik","Type","0",,
"75-csmo-a-i-1","polynom","Type","0",,
"75-csmo-a-i-1","hra-dvoch-hracov","Type","0",,
"75-csmo-a-i-1","fibonacciho-postupnost","Type","0",,
"75-csmo-a-i-1","kvadraticka-rovnica","Type","0",,
"75-csmo-a-i-1","priemer","Type","0",,
"75-csmo-a-i-1","geometricka-postupnost","Type","0",,
"75-csmo-a-i-1","najdite-riesenie-ak-existuje","Goal","0",,
"75-csmo-a-i-1","hra-3-hracov","Type","0",,
"75-csmo-a-i-1","rekurentna-postupnost","Type","0",,
"75-csmo-a-i-1","existuje-riesenie","Goal","0",,
"75-csmo-a-i-1","pocet-rieseni","Goal","0",,
"75-csmo-a-i-1","permutacia","Type","0",,
"75-csmo-a-i-1","algebrogram","Type","0",,
"75-csmo-a-i-1","geometricka-konstrukcia","Goal","0",,
"75-csmo-a-i-1","tazisko","Type","0",,
"75-csmo-a-i-1","kruznica-opisana","Type","0",,
"75-csmo-a-i-1","optimalizacna-uloha","Goal","0",,
"75-csmo-a-i-1","dotycnicovy-stvoruholnik","Type","0",,
"75-csmo-a-i-1","lichobeznik","Type","0",,
"75-csmo-a-i-1","palindrom","Type","0",,
"75-csmo-a-i-1","kombinacne-cislo","Type","0",,
"75-csmo-a-i-1","rovnolahlost","Type","0",,
"75-csmo-a-i-1","rovnica","Type","0",,
"75-csmo-a-i-1","goniometria","Area","0",,
"75-csmo-a-i-1","dokaz-existencie","Goal","0",,
"75-csmo-a-i-1","kvadraticky-zvysok","Type","0",,
"75-csmo-a-i-1","teoria-cisel","Area","0",,
"75-csmo-a-i-1","vsetky-riesenia","Goal","1",0,"The problem asks to 'Určte všetky možné počty vlajok', which directly translates to finding all possible solutions."
"75-csmo-a-i-1","magicky-stvorec","Type","0",,
"75-csmo-a-i-1","dokaz-jednoznacnosti","Goal","0",,
"75-csmo-a-i-1","periodicka-postupnost","Type","0",,
"75-csmo-a-i-1","pevny-bod","Type","0",,
"75-csmo-a-i-1","kongruencie","Type","0",,
"75-csmo-a-i-1","vypocet-veliciny","Goal","0",,
"75-csmo-a-i-1","kvadraticky-polynom","Type","0",,
"75-csmo-a-i-1","3d-geometria","Area","0",,
"75-csmo-a-i-1","rovnobeznik","Type","0",,
"75-csmo-a-i-1","konstrukcna-uloha","Goal","0",,
"75-csmo-a-i-1","zvysok-po-deleni","Type","0",,
"75-csmo-a-i-1","sustava-rovnic","Type","0",,
"75-csmo-a-i-1","funkcionalna-rovnica","Area","0",,
"75-csmo-a-i-1","median","Type","0",,
"75-csmo-a-i-1","primitivny-koren","Type","0",,
"75-csmo-a-i-1","usekovy-uhol","Type","0",,
"75-csmo-a-i-1","dotycnica","Type","0",,
"75-csmo-a-i-1","nerovnost","Type","0",,
"75-csmo-a-i-1","cela-cast","Type","0",,
"75-csmo-a-i-1","iteracia-funkcie","Type","0",,
"75-csmo-a-i-1","tetivovy-stvoruholnik","Type","0",,
"75-csmo-a-i-1","ciselna-sustava","Type","0",,
"75-csmo-a-i-1","symediana","Type","0",,
"75-csmo-a-i-1","sustava-nerovnic","Type","0",,
"75-csmo-a-i-1","kruznica-vpisana","Type","0",,
"75-csmo-a-i-1","kruznica-pripisana","Type","0",,
"75-csmo-a-i-1","vitazna-strategia","Goal","0",,
"75-csmo-a-i-1","triangularne-cislo","Type","0",,
"75-csmo-a-i-1","dokaz-neexistencie","Goal","0",,
"75-csmo-a-i-1","rychlost","Type","0",,
"75-csmo-a-i-1","kombinatoricka-geometria","Area","0.5",0,"The problem involves counting possibilities, but is more specific to geometric arrangements."
"75-csmo-a-i-2","permutacia","Type","0",,
